t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,cmd
36.692,-0.0011278618016467166,1.961628696021841e-06,1.0018425200903815,0.0002300933147628337,-2.410567538229262e-12,-1.1496569055361455e-05,0.99999998318159,1.4230602770237593e-12,0.0001834034302774768,1.4016117086737256e-17,hover
36.694,-0.0011273944780868716,1.9616286911454626e-06,1.0018424976269513,0.0002372232482423479,-2.4657521245215694e-12,-1.0966858618382651e-05,0.9999999833772273,1.4141075244077622e-12,0.00018233360585530328,1.3953576310896294e-17,hover
36.696,-0.0011269129380609266,1.9616286861590775e-06,1.0018424762201004,0.0002443097845117426,-2.5205745399778702e-12,-1.043998972554043e-05,0.9999999835716189,1.4051644341064473e-12,0.00018126433921058293,1.388980880579657e-17,hover
36.698,-0.0011264172683322095,1.9616286810634095e-06,1.0018424558641577,0.00025135295491735557,-2.5750352413404647e-12,-9.915950402813016e-06,0.9999999837647597,1.3962313385991293e-12,0.0001801956691861707,1.3828241444474622e-17,hover
36.7,-0.0011259075555998422,1.961628675859181e-06,1.001842436553476,0.0002583527923167605,-2.6291347003281443e-12,-9.394728723744144e-06,0.9999999839566447,1.3873084975532236e-12,0.00017912763428722483,1.3766138141863877e-17,hover
36.702,-0.0011253838864957314,1.9616286705471147e-06,1.001842418282432,0.0002653093310652364,-2.682873394846626e-12,-8.876312809246468e-06,0.999999984147269,1.378396174848718e-12,0.00017806027268241843,1.3700767161298327e-17,hover
36.704,-0.0011248463475815869,1.9616286651279313e-06,1.0018424010454259,0.0002722226070022878,-2.7362518174559896e-12,-8.360690827399064e-06,0.9999999843366282,1.3694946550591708e-12,0.00017699362220515406,1.3636252638018665e-17,hover
36.706,-0.0011242950253459666,1.961628659602351e-06,1.0018423848368816,0.00027909265743821497,-2.78927046776835e-12,-7.847850993268017e-06,0.9999999845247179,1.3606042159387339e-12,0.00017592772035478218,1.3572597693069431e-17,hover
36.708,-0.0011237300062013481,1.9616286539710924e-06,1.0018423696512466,0.00028591952114073493,-2.8419298597270362e-12,-7.337781568669566e-06,0.9999999847115342,1.3517251064855897e-12,0.00017486260429782255,1.3508096681704032e-17,hover
36.71,-0.0011231513764812272,1.961628648234874e-06,1.0018423554829918,0.00029270323832165316,-2.89423051282171e-12,-6.830470862019715e-06,0.999999984897073,1.3428576019435144e-12,0.00017379831086918873,1.3441727779759519e-17,hover
36.712,-0.0011225592224372433,1.9616286423944123e-06,1.0018423423266114,0.00029944385062358604,-2.946172962172149e-12,-6.3259072281163275e-06,0.9999999850813306,1.3340019817480186e-12,0.00017273487657341592,1.3378297230243864e-17,hover
36.714,-0.0011219536302363305,1.961628636450424e-06,1.0018423301766226,0.00030614140110673415,-2.9977577489851244e-12,-5.824079067948466e-06,0.9999999852643036,1.325158502052795e-12,0.0001716723375858918,1.3318146797529686e-17,hover
36.716,-0.0011213346859578965,1.961628630403623e-06,1.0018423190275663,0.00031279593423570674,-3.0489854285914705e-12,-5.324974828515206e-06,0.9999999854459887,1.3163274452220156e-12,0.00017061072975409024,1.3255445333916149e-17,hover
36.718,-0.001120702475591026,1.961628624254723e-06,1.001842308874006,0.0003194074958663971,-3.0998565625220803e-12,-4.82858300260773e-06,0.999999985626383,1.3075090045615e-12,0.0001695500885988078,1.3193641706241007e-17,hover
36.72,-0.0011200570850317117,1.9616286180044374e-06,1.0018422997105285,0.0003259761332329095,-3.1503717240709443e-12,-4.334892128635252e-06,0.9999999858054835,1.2987034930641327e-12,0.00016849044931540325,1.313410137140327e-17,hover
36.722,-0.0011193986000801106,1.9616286116534767e-06,1.0018422915317433,0.00033250189493453703,-3.2005314961933257e-12,-3.84389079044856e-06,0.9999999859832877,1.2899111400383565e-12,0.0001674318467750399,1.3073058314741928e-17,hover
